,ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
558,559.0,CENTRO Y PLAZA COMERCIAL,PLAZA FUTURA,AV. UNIVERSIDAD,1887,,COPILCO UNIVERDSIDAD,04360,,Coyoacán,POINT (-99.18187225937675 19.342096422632594)
559,560.0,CENTRO Y PLAZA COMERCIAL,WALMART EXPRESS,AV. MIGUEL ANGEL DE QUEVEDO,870,,COYOACAN,04000,,Coyoacán,POINT (-99.15605555501189 19.344463254832995)
560,561.0,CENTRO Y PLAZA COMERCIAL,SUMESA CENTENARIO,CENTENARIO,227,,DEL CARMEN,04100,,Coyoacán,POINT (-99.16308904563304 19.357645713035147)
561,562.0,TIENDAS DE AUTO SERVICIO,SUPERAMA ELITE PASSEOS DE TASQUEÑA,CALZ TAXQUEÑA,1752,,TAXQUEÑA,04280,,Coyoacán,POINT (-99.12664848135753 19.33905797282369)
562,563.0,CENTRO Y PLAZA COMERCIAL,PLAZA LA LONJA,AVENDIA CARLOTA ARMERO,60,,SAN FRANCISCO CULHUACAN,04260,,Coyoacán,POINT (-99.11334447336803 19.33513658369436)
563,564.0,CENTRO Y PLAZA COMERCIAL,PLAZA CANTIL-COYOACAN,AV AZTECAS,270,,LOS REYES,04330,,Coyoacán,POINT (-99.15386890318354 19.328931791719153)
564,565.0,CENTRO Y PLAZA COMERCIAL,MEGA SORIANA,AV. IMAN,550 151,,PEDREGAL DE CARRASCO,04700,,Coyoacán,POINT (-99.16547600493664 19.30715470593375)
565,566.0,TIENDA DE AUTO SERVICIO,TU TIENDA UNAM,MARIO DE LA CUEVA,,,CU,,,Coyoacán,POINT (-99.17550687296644 19.32075198940234)
566,567.0,CENTRO Y PLAZA COMERCIAL,PLAZA SANTA LUCIA,NEZAHUALCOYOTL,19,,AJUSCO,04300,,Coyoacán,POINT (-99.16700607618795 19.316132369081153)
567,568.0,CENTRO Y PLAZA COMERCIAL,Super Plaza La Viga,Eje 2 Oriente Calz. de la Viga,1150,,Apatlaco,09430,,Iztapalapa,POINT (-99.12216298966747 19.38067073568321)
568,569.0,CENTRO Y PLAZA COMERCIAL,Plaza Cumbres La Viga,Jesus,43,,El Triunfo,09430,,Iztapalapa,POINT (-99.1223797227383 19.379456868568887)
569,570.0,CENTRO Y PLAZA COMERCIAL,Mercado San Andrés Tepilco,s/c,s/n,,San Andres Tetepilco,09440,,Iztapalapa,POINT (-99.1302215303847 19.372516295171362)
570,571.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Calz. de la Viga,1381,Esq. Eje 6,El Retoño,09440,Actualmente es Soriana,Iztapalapa,POINT (-99.12284092507134 19.374540051356696)
571,572.0,TIENDA DE AUTOSERVICIO_1,Soriana,Retoño,890,,El Retoño,09440,,Iztapalapa,POINT (-99.12404595309499 19.37470411320267)
572,573.0,TIENDA DE AUTOSERVICIO_1,Soriana,Calz. de la Viga eje 2 oriente,1345,,El Retoño,09440,,Iztapalapa,POINT (-99.12316157371464 19.37473104584911)
573,574.0,TIENDA DE AUTOSERVICIO_1,Soriana,Retoño,900,,El Retoño,09440,,Iztapalapa,POINT (-99.12364024220125 19.37479984126065)
574,575.0,CENTRO Y PLAZA COMERCIAL,Portal Churubusco,Circuito interior Ave. Rio Churubusco,583,,Sector Popular,09060,,Iztapalapa,POINT (-99.12189399258354 19.368830616586592)
575,576.0,CENTRO Y PLAZA COMERCIAL,Plaza Cascada,Municipio Libre,83,,Banjidal,09450,,Iztapalapa,POINT (-99.13662597474398 19.366800936284783)
576,577.0,CENTRO Y PLAZA COMERCIAL,Mercado Escuadrón 201,Rodolfo Usigli,s/n,,Escuadrón 201,09060,,Iztapalapa,POINT (-99.11196647331658 19.362491130074535)
577,578.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Ermita,1897,Esq. Av. Plutarco Elías Calles,Benjidal,09450,Actualmente hay una PEMEX y Farmacia Sn Pablo,Iztapalapa,POINT (-99.1388379475461 19.359670007276833)
578,579.0,CENTRO Y PLAZA COMERCIAL,Plaza Monarca,Auriga,8,,El Prado,09480,,Iztapalapa,POINT (-99.1320352226721 19.358577390898503)
579,580.0,TIENDAS DE AUTO SERVICIO,"GIGANTE, S.A. DE C.V.",Calz. la Viga,1801,Esq. Ermita Iztapalapa,Unidad Modelo,09080,Actualmente es un Soriana,Iztapalapa,POINT (-99.12240188829202 19.359823043397665)
580,581.0,CENTRO Y PLAZA COMERCIAL,Plaza El Pueblito,Avena,13,,Mexicaltzingo,09099,,Iztapalapa,POINT (-99.11899527767945 19.356944119354793)
581,582.0,TIENDAS DEPARTAMENTALES,K-2,Ermita Iztapalapa,629,Entre Maíz y Trigo,Granjas Esmeralda,09810,Actualmente parece una bodega,Iztapalapa,POINT (-99.11442685013094 19.356202058964136)
582,583.0,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Av. Canal de Tezontle,1520,Casi Esq. con Rojo Gómez,Dr. Alfonso Ortiz Tirado,09020,Es parte de Parque Tezontle,Iztapalapa,POINT (-99.08270580307153 19.383886144910807)
583,584.0,CENTRO COMERCIAL,PARQUE TEZONTLE,,,,,,,Iztapalapa,POINT (-99.08285877941346 19.383290670799614)
584,585.0,TIENDAS DE AUTO SERVICIO,"WALL MART DE MÉXICO,S.A DE C.V.",Av. Canal de Tezontle,1520,Casi Esq. con Rojo Gómez,Dr. Alfonso Ortiz Tirado,09020,Es parte de Plaza Oriente,Iztapalapa,POINT (-99.0805317905444 19.382349148680202)
585,586.0,TIENDAS DE AUTO SERVICIO,SAMS CLUB,Av. Canal de Tezontle,1520,Casi Esq. con Rojo Gómez,Dr. Alfonso Ortiz Tirado,09020,Es parte de Plaza Oriente,Iztapalapa,POINT (-99.07761978361862 19.38384815567821)
586,587.0,TIENDAS DE AUTO SERVICIO,MEGA COMERCIAL MEXICANA S.A DE C.V.,Javier Rojo Gómez,600,Entre Tezontle y Río Frío,Cuchilla del Moral,09319,Actualmente Soriana,Iztapalapa,POINT (-99.07483577529861 19.384514162208717)
587,588.0,TIENDAS DE AUTO SERVICIO,HOME  MART,Canal de Sn. Juan,2141,Esq. Av. Tezontle,Unidad Habitacional Juárez,09219,Actualmente Bodega Aurrera,Iztapalapa,POINT (-99.05930370500774 19.37884919325816)
588,589.0,CENTRO Y PLAZA COMERCIAL,Zentralia Churubusco,Ave. Rio Churubusco,1072,,Los Picos VI-B,09420,Hay una TIENDA DE AUTOSERVICIO Chedraui,Iztapalapa,POINT (-99.1022676781604 19.37923741532752)
589,590.0,CENTRO Y PLAZA COMERCIAL,Plaza Central,Av. Río Churubusco,s/n,,Central de Abasto,09040,,Iztapalapa,POINT (-99.09539782626025 19.377018814236838)
590,591.0,CENTRO Y PLAZA COMERICIAL,Mercado de Jaimaica,Marcelino Buendía,s/n,,Central de Abasto,09040,,Iztapalapa,POINT (-99.07897777584353 19.37983996545388)
591,592.0,CENTRO Y PLAZA COMERCIAL,Central de Abasto CDMX,Av. Río Churubusco,s/n,,Central de Abasto,09040,Central de Abasto CDMX,Iztapalapa,POINT (-99.09051292156401 19.372893745080695)
592,593.0,TIENDAS DEPARTAMENTALES,SALINAS Y ROCHA,Calz. Ermita Iztapalapa,835,Esq. Av. Toltecas,Barrio Sta. Barbara,09000,Actualmente es una Nissan,Iztapalapa,POINT (-99.10505581641026 19.356277080347127)
593,594.0,CENTRO Y PLAZA COMERCIAL,Mercado Iztapalapa,Ayuntamiento,s/n,,San Pablo,09000,,Iztapalapa,POINT (-99.09124511046191 19.36044577244725)
594,595.0,CENTRO Y PLAZA COMERCIAL,Plaza Ermita,Calz. Ermita Iztapalapa,1441,,El Molino,09830,,Iztapalapa,POINT (-99.08643228199635 19.355954845351366)
595,596.0,CENTRO Y PLAZA COMERCIAL,Plaza Ermita,Calz. Ermita Iztapalapa,655,,Minerva,09810,,Iztapalapa,POINT (-99.11082155137802 19.35525809511889)
596,597.0,TIENDAS DEPARTAMENTALES,VIANA,Calz. Ermita Iztapalapa,915,Esq. Tulyehualco,Industrial Sta. Isabel,09820,Actualmente es un Coppel,Iztapalapa,POINT (-99.1026788049904 19.35537708480668)
597,598.0,CENTRO Y PLAZA COMERCIAL,Plaza Aristeum,Ermita Iztapalapa,941,,Santa Isabel Industrial,09820,,Iztapalapa,POINT (-99.10192021205411 19.35541388429993)
598,599.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Calz. Ermita Iztapalapa,875,Entre Av. Toltecas y los Reyes,Sta. Isabel Industrial,09820,,Iztapalapa,POINT (-99.10384780830404 19.354987082340976)
599,600.0,CENTRO Y PLAZA COMERCIAL,Plaza Zaragoza,Calz. Ignacio Zaragoza,1385,,Tepalcates,09210,Hay una TIENDA DE AUTOSERVICIO Sams Club,Iztapalapa,POINT (-99.05553210851264 19.395074552264848)
600,601.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. Ignacio Zaragoza,1527,Jesús Almanza y Nicolás Bravo,Tepalcates,09210,,Iztapalapa,POINT (-99.05112970960526 19.392739219194638)
601,602.0,TIENDAS DE AUTO SERVICIO,ISSSTETIENDAS,Av. Zaragoza,1711,,Tepalcates,09328,,Iztapalapa,POINT (-99.04435915964177 19.388124232785085)
602,603.0,TIENDAS DE AUTO SERVICIO,"GIGANTE, S.A. DE C.V.",Calz. Ignacio Zaragoza,1886,Entre Juan Manuel Torrea y Domingo Arellano,Juan Escutia,09100,Actualmente es un Burger King en remodelación,Iztapalapa,POINT (-99.0385996514822 19.38756924428678)
603,604.0,TIENDAS DE AUTO SERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Av. Ignacio Zaragoza,1450,Casi Esq. Av. Guelatao,Juan Escutia,09100,Actualmente Soriana,Iztapalapa,POINT (-99.04108167570045 19.389534965305028)
604,605.0,CENTRO Y PLAZA COMERCIAL,Mercado Francisco Villa,s/c,s/n,,Ejercito constitucionalista,09220,,Iztapalapa,POINT (-99.0503800202866 19.38477077608942)
605,606.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Universidad,1191,Esq. Gral. Antonio de León,Ejército Constitucionalista,09220,Actualmente es Conalep Iztapalapa II,Iztapalapa,POINT (-99.0529746949483 19.38398721048824)
606,607.0,CENTRO Y PLAZA COMERCIAL,Plaza Los Arcos,Av. Tlahuac,5662,,San Lorenzo Tezonco,09790,,Iztapalapa,POINT (-99.01880691892903 19.373801453581446)
