"folio","tipo_comedor","denominacion_o_razon_social","alcaldia","calle","numero_exterior","interior","colonia","latitud","longitud"
"CPOP89","Comedor Popular","Comedor Quetzalcoatl","IZTAPALAPA","VILLA DEL OSO","MZ 7B","LT 2","DESARROLLO URBANO QUETZALCOATL",19.328462,-99.039748
"CPOP90","Comedor Popular","Comedor Sabadell","IZTAPALAPA","CALLE 6","29",NA,"SAN JUAN XALPA",19.33114471,-99.07964501
"CPOP91","Comedor Popular","Comedor Santa MarÃ­a Amalacachico","XOCHIMILCO","GUADALUPE PANTOJA","14",NA,"SANTA MARÍA AMALACACHICO",19.27510166,-99.11815518
"CPOP92","Comedor Popular","Comedor SantÃ­sima Trinidad","COYOACÁN","VICENTE GUERRERO","9",NA,"VIEJO EJIDO DE SANTA ÚRSULA COAPA",19.30566632,-99.14122904
"CPOP93","Comedor Popular","Comedor Sematur","MILPA ALTA","JALAPA","99",NA,"BARRIO SANTA CRUZ",19.200634,-99.018184
"CPOP94","Comedor Popular","Comedor Sofia","XOCHIMILCO","LIBERTAD","27 Bis",NA,"PUEBLO DE SANTIAGO TEPALCATLALPAN",19.247714,-99.120751
"CPOP95","Comedor Popular","Comedor Soto Zuryth","IZTAPALAPA","MEDINACHELLI","50",NA,"CERRO DE LA ESTRELLA",19.32620027,-99.0773097
"CPOP96","Comedor Popular","Comedor Soyaltepec","IZTAPALAPA","ROSA","MZ 49","LT 14","SAN MIGUEL TEOTONGO",19.346301,-98.993308
"CPOP97","Comedor Popular","Comedor Sr. Lozada","IZTAPALAPA","RÍO FRÍO","MZ 37","LT 14","VALLE DE SAN LORENZO",19.295598,-99.076642
"CPOP98","Comedor Popular","Comedor Susy","MILPA ALTA","JUAN ESCUTIA","5",NA,"SAN ANTONIO TECOMITL",19.21084404,-98.9927999
"CPOP99","Comedor Popular","Comedor Taiyari","IZTACALCO","SUR 125","1705",NA,"GABRIEL RAMOS MILLÁN",19.38952412,-99.10297547
"CPOP100","Comedor Popular","Comedor Teotihuacanos","COYOACÁN","TEOTIHUACANOS","7",NA,"AJUSCO",19.31998362,-99.15859507
"CPOP101","Comedor Popular","Comedor Tequimilpa","MILPA ALTA","INDEPENDECIA","15",NA,"PUEBLO SAN FRANCISCO TECOXPA",19.1957416,-99.00565569
"CPOP102","Comedor Popular","Comedor Tere","TLÁHUAC","ADRIANA SUR","MZ 23","LT 7","AGRÍCOLA METROPOLITANA",19.29262677,-99.05413307
"CPOP103","Comedor Popular","Comedor Tichis","IZTACALCO","ANDADOR PUENTE DE CORREO MAYOR","MZ 36","LT 12","AMPLIACIÓN GABRIEL RAMOS MILLÁN SECCIÓN CUCHILLA",19.38848458,-99.09303283
"CPOP104","Comedor Popular","Comedor Tonalli","TLÁHUAC","ESTRELLA DEL MAR","MZ 14","LT 17","DEL MAR",19.28665842,-99.05628533
"CPOP105","Comedor Popular","Comedor Unides Mx","XOCHIMILCO","MARIO MORENO","8",NA,"DEL CARMEN",19.25233797,-99.0253681
"CPOP106","Comedor Popular","Comedor Vida Digna","IZTACALCO","PLUTARCO ELÍAS CALLES","S/N",NA,"TLAZINTLA",19.38051855,-99.13461193
"CPOP107","Comedor Popular","Comedor Wenceslao Victoria Soto","GUSTAVO A. MADERO","WENCESLAO","S/N",NA,"COL. 6 DE JUNIO",19.54979268,-99.12592519
"CPOP108","Comedor Popular","Comedor Xilotl","MILPA ALTA","GUADALUPE","23",NA,"SAN JUAN TEPENAHUA",19.18772012,-98.99535071
"CPOP109","Comedor Popular","Comedor Zapata","ÁLVARO OBREGÓN","AGAVES (ANTES EMILIANO ZAPATA)","MZ 6","LT 5","AMPLIACIÓN TLOCOYAQUE",19.32050501,-99.26501163
